event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000018889,2025-01-27 06:17:54,2025-01-28,LN101906,CU901906,PAYMENT,3,12581605.0,271133.59,11768204.23,0.231,24,0,ACTIVE,AGENTE,VALLE,VEHICULO
EVT000014923,2025-01-05 00:43:25,2025-01-05,LN101502,CU901502,PAYMENT,1,27563177.0,1206991.52,26356185.48,0.2379,12,0,ACTIVE,OFFLINE,RISARALDA,CONSUMO
EVT000011483,2025-10-26 01:37:28,2025-10-26,LN101152,CU901152,PAYMENT,8,1647456.0,50000.0,1247456.0,0.2946,24,95,DELINQUENT,APP,CALDAS,VEHICULO
EVT000001187,2023-10-03 18:42:49,2023-10-03,LN100120,CU900120,PAYMENT,8,10766542.0,191859.78,9231663.76,0.1564,24,0,ACTIVE,AGENTE,BOGOTA,MICROCREDITO
EVT000019120,2025-11-01 07:26:25,2025-11-01,LN101929,CU901929,PAYMENT,3,13439661.0,694292.89,11356782.33,0.3166,12,0,ACTIVE,ONLINE,BOLIVAR,LIBRANZA
EVT000002219,2025-08-15 04:30:05,2025-08-15,LN100220,CU900220,PAYMENT,2,24642885.0,2036980.87,20568923.26,0.2133,6,0,ACTIVE,OFFLINE,NARINO,MICROCREDITO
EVT000003177,2026-04-26 07:38:42,2026-04-27,LN100317,CU900317,PAYMENT,5,21411839.0,540327.76,18710200.2,0.3047,24,0,ACTIVE,ONLINE,CALDAS,VEHICULO
EVT000008260,2024-09-23 21:14:31,2024-09-23,LN100827,CU900827,PAYMENT,2,13468122.0,396860.66,12674400.68,0.242,18,0,ACTIVE,OFFLINE,BOGOTA,CONSUMO
EVT000001666,2026-02-06 12:48:35,2026-02-07,LN100167,CU900167,PAYMENT,11,15209653.0,233670.97,12639272.33,0.2609,36,3,DELINQUENT,ONLINE,ANTIOQUIA,CONSUMO
EVT000004529,2024-08-01 07:04:00,2024-08-02,LN100454,CU900454,DELINQUENCY,2,7172930.0,83182.08,7006565.84,0.1479,36,35,DELINQUENT,OFFLINE,ANTIOQUIA,CONSUMO
EVT000012589,2025-12-02 03:50:48,2025-12-03,LN101266,CU901266,PAYMENT,1,13558007.0,205742.76,13352264.24,0.1035,24,0,ACTIVE,OFFLINE,VALLE,VEHICULO
EVT000014561,2023-05-10 09:47:20,2023-05-10,LN101465,CU901465,DISBURSEMENT,0,11224528.0,159163.81,11224528.0,0.0836,24,0,ACTIVE,ONLINE,BOGOTA,MICROCREDITO
EVT000013616,2024-11-01 22:00:19,2024-11-02,LN101368,CU901368,PAYMENT,7,6270712.0,151249.57,5211965.01,0.2824,24,0,ACTIVE,ONLINE,ATLANTICO,CONSUMO
EVT000017242,2025-12-28 20:08:01,2025-12-28,LN101737,CU901737,PAYMENT,1,23953965.0,1112901.21,22841063.79,0.2646,12,0,ACTIVE,ONLINE,NARINO,LIBRANZA
EVT000001122,2025-02-01 17:23:18,2025-02-01,LN100113,CU900113,PAYMENT,9,25217968.0,476493.51,20929526.41,0.1779,24,127,DELINQUENT,OFFLINE,VALLE,CONSUMO
EVT000000411,2025-02-07 03:24:53,2025-02-08,LN100042,CU900042,PAYMENT,3,8099297.0,203008.88,7490270.36,0.3013,24,0,ACTIVE,AGENTE,BOGOTA,MICROCREDITO
