event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000014472,2025-10-13 18:38:18,2025-10-13,LN101457,CU901457,PAYMENT,3,20795240.0,275640.91,19968317.27,1.2949,48,0,ACTIVE,ONLINE,,LIBRANZA
EVT000014265,2023-08-25 04:52:55,2023-08-25,LN101435,CU901435,PAYMENT,5,11781471.0,421069.77,9676122.15,0.1574,12,0,ACTIVE,OFFLINE,BOGOTA,CONSUMO
EVT000006399,2025-06-14 13:13:18,2025-06-15,LN100639,CU900639,DISBURSEMENT,0,1568359.0,50000.0,1568359.0,0.3434,24,0,ACTIVE,APP,BOGOTA,CONSUMO
EVT000004277,2024-01-26 12:54:58,2024-01-27,LN100428,CU900428,DELINQUENCY,1,22324463.0,2065012.83,20259450.17,0.2625,6,42,DELINQUENT,OFFLINE,CUNDINAMARCA,CONSUMO
EVT000008519,2023-10-02 14:32:12,2023-10-02,LN100854,CU900854,PAYMENT,1,12748452.0,187699.71,12560752.29,0.2417,36,0,ACTIVE,APP,CUNDINAMARCA,CONSUMO
EVT000016343,2025-10-02 09:34:39,2025-10-03,LN101645,CU901645,PAYMENT,2,26948653.0,627364.64,25693923.72,0.2656,24,0,ACTIVE,ONLINE,NARINO,CONSUMO
EVT000010722,2024-10-04 16:10:17,,LN101078,CU901078,PAYMENT,3,11207494.0,218265.95,10552696.15,0.1895,24,0,ACTIVE,OFFLINE,CALDAS,MICROCREDITO
EVT000013430,2024-06-06 03:34:23,2024-06-07,LN101349,CU901349,PAYMENT,2,8408998.0,206188.63,7996620.74,0.2904,24,14,DELINQUENT,ONLINE,RISARALDA,CONSUMO
EVT000000416,2025-06-24 04:55:01,2025-06-25,LN100042,CU900042,PAYMENT,8,8099297.0,203008.88,6475225.96,0.3013,24,0,ACTIVE,AGENTE,BOGOTA,MICROCREDITO
EVT000014996,2024-07-31 15:43:30,2024-08-01,LN101510,CU901510,PAYMENT,11,23847623.0,384423.68,19618962.52,0.1224,24,21,DELINQUENT,ONLINE,BOGOTA,VEHICULO
EVT000015146,2024-12-08 20:54:09,2024-12-08,LN101526,CU901526,PAYMENT,6,8892178.0,154457.13,7965435.22,0.1474,24,0,ACTIVE,ONLINE,BOLIVAR,VEHICULO
EVT000010462,2025-05-16 07:38:16,2025-05-17,LN101050,CU901050,PAYMENT,3,13117757.0,380414.95,11976512.15,0.235,18,88,DELINQUENT,OFFLINE,ANTIOQUIA,CONSUMO
EVT000016283,2025-05-09 00:06:01,2025-05-10,LN101639,CU901639,PAYMENT,4,1240937.0,50000.0,1040937.0,0.179,36,10,DELINQUENT,ONLINE,BOGOTA,MICROCREDITO
EVT000011872,2025-05-03 00:26:20,,LN101193,CU901193,PAYMENT,9,5851883.0,204152.69,4014508.79,0.3233,18,0,ACTIVE,OFFLINE,CUNDINAMARCA,CONSUMO
EVT000014884,2024-03-03 14:40:15,,LN101497,CU901497,PAYMENT,7,12946094.0,395805.25,10175457.25,0.2586,18,0,ACTIVE,APP,ATLANTICO,MICROCREDITO
EVT000016795,2023-04-22 03:50:45,2023-04-22,LN101692,CU901692,PAYMENT,5,19458169.0,248869.98,18213819.1,0.1837,36,0,ACTIVE,APP,,CONSUMO
EVT000012365,2025-01-07 22:47:01,2025-01-08,LN101243,CU901243,PAYMENT,3,3725997.0,381542.09,2581370.73,0.312,6,0,ACTIVE,OFFLINE,BOGOTA,CONSUMO
EVT000004001,2024-05-10 21:41:21,,LN100400,CU900400,PAYMENT,8,23543844.0,806612.1,17090947.2,0.1426,12,34,DELINQUENT,OFFLINE,ATLANTICO,LIBRANZA
EVT000000296,2025-06-09 05:25:54,2025-06-09,LN100031,CU900031,PAYMENT,5,19268265.0,312274.35,17706893.25,0.2862,36,52,DELINQUENT,ONLINE,ANTIOQUIA,VEHICULO
EVT000014926,2025-03-20 02:59:47,2025-03-21,LN101502,CU901502,PAYMENT,4,27563177.0,1206991.52,22735210.92,0.2379,12,0,ACTIVE,OFFLINE,RISARALDA,CONSUMO
EVT000004989,2024-08-17 12:38:16,2024-08-18,LN100499,CU900499,PAYMENT,8,16661087.0,455180.9,13019639.8,0.3464,24,0,ACTIVE,AGENTE,ATLANTICO,CONSUMO
EVT000018451,2026-10-19 07:33:48,2026-10-19,LN101863,CU901863,PAYMENT,12,29660845.0,411000.44,24728839.72,0.2157,36,0,ACTIVE,ONLINE,BOLIVAR,MICROCREDITO
EVT000014834,2024-02-24 06:17:07,2024-02-25,LN101493,CU901493,PAYMENT,2,25405892.0,443459.84,24518972.32,0.1491,24,0,ACTIVE,ONLINE,BOLIVAR,CONSUMO
EVT000007872,2023-12-11 03:19:32,2023-12-11,LN100788,CU900788,CHARGEOFF,5,10547372.0,996515.71,5564793.45,0.2724,6,93,CHARGEOFF,OFFLINE,BOGOTA,CONSUMO
EVT000018190,2025-09-28 03:19:58,,LN101836,CU901836,DELINQUENCY,2,17651305.0,314722.77,17021859.46,0.3349,36,105,DELINQUENT,OFFLINE,ANTIOQUIA,CONSUMO
EVT000019221,2024-12-05 16:37:17,2024-12-05,LN101939,CU901939,DISBURSEMENT,0,10700477.0,445353.85,10700477.0,0.2162,12,0,ACTIVE,OFFLINE,CUNDINAMARCA,LIBRANZA
EVT000004680,2023-07-03 05:54:33,,LN100470,CU900470,PAYMENT,1,25955449.0,916400.39,25039048.61,0.3296,18,0,ACTIVE,ONLINE,SANTANDER,MICROCREDITO
EVT000019496,2023-09-28 03:56:56,,LN101966,CU901966,DELINQUENCY,8,29431853.0,1520449.53,17268256.76,0.3166,12,10,DELINQUENT,ONLINE,VALLE,LIBRANZA
EVT000007161,2023-06-08 07:40:24,2023-06-08,LN100717,CU900717,PAYMENT,2,23729743.0,1007090.29,21715562.42,0.2244,12,3,DELINQUENT,APP,CALDAS,VEHICULO
EVT000011098,2025-05-06 12:29:01,2025-05-06,LN101116,CU901116,PAYMENT,11,4149005.0,109595.97,2943449.33,0.3283,24,0,ACTIVE,APP,NARINO,CONSUMO
EVT000018827,2024-11-27 02:51:10,2024-11-27,LN101900,CU901900,PAYMENT,1,24098055.0,825438.71,23272616.29,0.3138,18,0,ACTIVE,ONLINE,BOGOTA,CONSUMO
EVT000019289,2025-08-10 09:54:15,2025-08-10,LN101946,CU901946,PAYMENT,2,5290300.0,131278.79,5027742.42,0.2963,24,0,ACTIVE,ONLINE,ANTIOQUIA,CONSUMO
EVT000015500,2025-10-31 11:56:03,2025-10-31,LN101560,CU901560,PAYMENT,3,1700739.0,50000.0,1550739.0,0.1349,36,0,ACTIVE,AGENTE,VALLE,CONSUMO
EVT000010034,2026-03-31 03:15:12,2026-04-01,LN101008,CU901008,CHARGEOFF,3,8102460.0,156823.11,7631990.67,0.1871,24,115,CHARGEOFF,OFFLINE,BOGOTA,LIBRANZA
EVT000009793,2025-09-07 01:03:01,,LN100984,CU900984,DELINQUENCY,4,3610404.0,177234.73,2901465.08,0.2909,12,-1,DELINQUENT,ONLINE,BOGOTA,VEHICULO
EVT000014530,2025-07-11 20:01:21,2025-07-08,LN101462,CU901462,PAYMENT,1,17497717.0,254416.81,17243300.19,0.2362,36,5,DELINQUENT,ONLINE,ANTIOQUIA,MICROCREDITO
