event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000002040,2026-01-30 06:05:30,2026-01-31,LN100202,CU900202,PAYMENT,6,14549220.0,480269.75,11667601.5,0.1301,12,34,DELINQUENT,AGENTE,RISARALDA,CONSUMO
EVT000002990,2024-05-20 23:21:55,2024-05-20,LN100297,CU900297,DELINQUENCY,3,26219011.0,479021.33,24781947.01,0.1654,24,41,DELINQUENT,ONLINE,ANTIOQUIA,CONSUMO
EVT000009851,2024-10-05 17:05:13,,LN100990,CU900990,PAYMENT,3,17818256.0,676024.63,15790182.11,0.1794,12,20,DELINQUENT,OFFLINE,VALLE,VEHICULO
EVT000000760,2023-12-08 01:23:04,2023-12-08,LN100078,CU900078,PAYMENT,7,16248471.0,456744.52,13051259.36,0.0811,12,23,DELINQUENT,AGENTE,BOLIVAR,MICROCREDITO
EVT000006083,2023-08-01 04:41:43,2023-08-01,LN100607,CU900607,PAYMENT,4,13628217.0,333073.62,12295922.52,0.1666,18,0,ACTIVE,ONLINE,ANTIOQUIA,VEHICULO
EVT000003834,2024-10-19 19:09:12,2024-10-19,LN100383,CU900383,PAYMENT,2,12135181.0,631514.82,10872151.36,0.3204,12,13,DELINQUENT,ONLINE,NARINO,MICROCREDITO
EVT000011539,2024-02-08 14:02:46,2024-02-09,LN101159,CU901159,DISBURSEMENT,0,15988903.0,333635.11,15988903.0,0.113,18,0,ACTIVE,AGENTE,SANTANDER,LIBRANZA
EVT000011476,2025-03-31 22:02:33,2025-04-01,LN101152,CU901152,PAYMENT,2,1647456.0,50000.0,1547456.0,0.2946,24,0,ACTIVE,APP,CALDAS,VEHICULO
EVT000001233,2025-02-12 17:00:20,2025-02-12,LN100125,CU900125,DELINQUENCY,8,17416583.0,503223.14,13390797.88,0.2334,18,15,DELINQUENT,OFFLINE,CUNDINAMARCA,CONSUMO
EVT000001152,2023-02-14 23:05:09,2023-02-15,LN100117,CU900117,DISBURSEMENT,0,8716433.0,218782.47,8716433.0,0.1765,18,0,ACTIVE,ONLINE,RISARALDA,CONSUMO
EVT000010461,2025-04-10 06:47:22,2025-05-08,LN101050,CU901050,DELINQUENCY,2,13117757.0,380414.95,12356927.1,0.235,18,97,DELINQUENT,OFFLINE,ANTIOQUIA,CONSUMO
EVT000000288,2024-02-29 02:54:12,2024-02-29,LN100030,CU900030,DELINQUENCY,8,5298622.0,69981.55,4738769.6,0.3283,48,67,DELINQUENT,APP,CALDAS,CONSUMO
EVT000016677,2023-05-09 20:24:45,2023-05-09,LN101680,CU901680,DISBURSEMENT,1,15583199.0,647949.41,14935249.59,0.2158,12,0,ACTIVE,APP,CUNDINAMARCA,LIBRANZA
EVT000010252,2024-03-25 19:44:53,2024-03-26,LN101029,CU901029,DISBURSEMENT,0,11923780.0,189588.1,11923780.0,0.277,36,0,ACTIVE,ONLINE,BOGOTA,CONSUMO
EVT000006749,2025-11-19 10:09:16,2025-11-19,LN100675,CU900675,PAYMENT,5,6176075.0,277244.01,4789854.95,0.2489,12,0,ACTIVE,ONLINE,BOGOTA,LIBRANZA
EVT000006182,2026-05-21 16:31:11,2026-05-21,LN100618,CU900618,PAYMENT,5,21893391.0,647606.51,18655358.45,0.2437,18,0,ACTIVE,ONLINE,SANTANDER,CONSUMO
EVT000016471,2023-08-17 07:05:03,2023-08-18,LN101659,CU901659,PAYMENT,2,22139299.0,716132.52,20707033.96,0.2852,18,34,DELINQUENT,OFFLINE,BOGOTA,LIBRANZA
EVT000007401,2024-03-10 16:33:26,2024-03-11,LN100741,CU900741,DISBURSEMENT,3,9856577.0,533339.38,0.0,0.3411,12,0,ACTIVE,APP,ANTIOQUIA,VEHICULO
EVT000019176,2026-06-16 12:45:39,2026-06-17,LN101934,CU901934,PAYMENT,8,19431802.0,254945.24,17392240.08,0.1936,36,157,DELINQUENT,ONLINE,SANTANDER,VEHICULO
EVT000008665,2024-04-26 16:28:04,,LN100870,CU900870,PAYMENT,2,21596310.0,577917.26,20440475.48,0.2014,18,6,DELINQUENT,ONLINE,NARINO,MICROCREDITO
EVT000006013,2025-09-24 12:36:52,2025-09-24,LN100600,CU900600,CHARGEOFF,0,9011930.0,399679.1,9011930.0,0.2435,12,356,CHARGEOFF,ONLINE,VALLE,MICROCREDITO
EVT000015247,2025-12-23 20:52:20,2025-12-23,LN101536,CU901536,PAYMENT,10,4033558.0,354872.43,484833.7,0.2399,6,12,DELINQUENT,APP,CALDAS,CONSUMO
EVT000013215,2026-01-19 19:39:53,2026-01-20,LN101328,CU901328,PAYMENT,2,23630789.0,701204.28,22228380.44,0.2451,18,0,ACTIVE,AGENTE,NARINO,LIBRANZA
EVT000014188,2025-05-09 02:34:40,2025-05-09,LN101427,CU901427,DISBURSEMENT,0,16366489.0,241405.71,16366489.0,0.2425,36,0,ACTIVE,ONLINE,VALLE,CONSUMO
EVT000007584,2024-11-15 22:39:41,2024-11-15,LN100760,CU900760,PAYMENT,9,19709419.0,194203.48,0.0,0.0956,36,0,ACTIVE,AGENTE,BOLIVAR,CONSUMO
EVT000013485,2024-05-15 13:54:06,2024-05-15,LN101355,CU901355,PAYMENT,2,10731733.0,265825.03,10200082.94,0.2954,24,0,ACTIVE,OFFLINE,CUNDINAMARCA,LIBRANZA
EVT000009249,2023-11-16 04:54:59,2023-11-16,LN100929,CU900929,PAYMENT,7,19123912.0,490528.34,15690213.62,0.313,24,218,DELINQUENT,APP,CALDAS,VEHICULO
EVT000019259,2024-11-18 16:52:47,2024-11-18,LN101943,CU901943,PAYMENT,3,21663634.0,378535.9,20528026.3,0.3242,36,0,ACTIVE,APP,BOLIVAR,CONSUMO
EVT000004836,2023-11-08 09:31:33,2023-10-17,LN100485,CU900485,PAYMENT,3,21806164.0,568704.76,20100049.72,0.1912,18,41,DELINQUENT,OFFLINE,SANTANDER,CONSUMO
EVT000017523,2025-05-19 03:48:51,2025-05-20,LN101769,CU901769,PAYMENT,5,8517036.0,198659.86,7523736.7,0.2665,24,36,DELINQUENT,OFFLINE,ATLANTICO,CONSUMO
EVT000009275,2024-07-20 14:50:56,2024-07-20,LN100932,CU900932,PAYMENT,5,22598865.0,981242.72,0.0,0.2342,12,0,ACTIVE,ONLINE,CUNDINAMARCA,CONSUMO
EVT000001767,2024-09-02 02:49:55,2024-09-02,LN100178,CU900178,PAYMENT,8,24819120.0,1338495.14,14111158.88,0.3393,12,1,DELINQUENT,ONLINE,RISARALDA,CONSUMO
EVT000016608,2025-10-25 11:21:20,2025-10-26,LN101673,CU901673,DISBURSEMENT,0,17613369.0,603434.02,17613369.0,0.3139,18,0,ACTIVE,ONLINE,CALDAS,CONSUMO
EVT000012587,2024-05-13 22:35:11,2024-05-13,LN101265,CU901265,PAYMENT,7,28353128.0,1287515.54,19340519.22,0.2541,12,12,DELINQUENT,AGENTE,RISARALDA,CONSUMO
EVT000017089,2025-10-24 20:56:21,2025-10-25,LN101720,CU901720,PAYMENT,4,16676551.0,319606.1,15398126.6,0.1833,24,86,DELINQUENT,ONLINE,CUNDINAMARCA,MICROCREDITO
EVT000011486,2024-02-06 00:04:55,2024-02-06,LN101153,CU901153,DISBURSEMENT,0,21527168.0,534411.95,21527168.0,0.2965,24,0,ACTIVE,ONLINE,CALDAS,LIBRANZA
EVT000002399,2026-06-21 19:04:06,2026-06-22,LN100238,CU900238,PAYMENT,11,9553674.0,484944.49,4219284.61,0.3076,12,0,ACTIVE,OFFLINE,BOGOTA,MICROCREDITO
EVT000002480,2025-04-02 05:04:44,2025-04-03,LN100247,CU900247,DELINQUENCY,6,4230022.0,77226.1,3766665.4,0.3477,36,58,DELINQUENT,ONLINE,ATLANTICO,LIBRANZA
EVT000014518,2024-04-13 14:00:53,,LN101461,CU901461,PAYMENT,3,26367034.0,372829.86,25248544.42,0.0828,24,0,ACTIVE,ONLINE,RISARALDA,MICROCREDITO
EVT000003934,2025-09-29 23:41:33,2025-09-30,LN100393,CU900393,PAYMENT,12,21136574.0,2043483.97,0.0,0.2834,6,0,ACTIVE,APP,,VEHICULO
EVT000010563,2023-08-03 23:53:00,2023-08-03,LN101061,CU901061,PAYMENT,1,14530707.0,318222.48,14212484.52,0.238,24,0,ACTIVE,AGENTE,ANTIOQUIA,CONSUMO
EVT000017481,2025-01-27 08:08:48,2025-01-27,LN101765,CU901765,DISBURSEMENT,0,25678491.0,257726.45,25678491.0,0.1011,36,0,ACTIVE,OFFLINE,SANTANDER,CONSUMO
EVT000015105,2024-01-03 17:46:54,2024-01-04,LN101523,CU901523,DISBURSEMENT,1,8596488.0,804115.49,7792372.51,0.2677,6,0,ACTIVE,ONLINE,ATLANTICO,CONSUMO
EVT000008552,2024-09-10 01:16:21,,LN100857,CU900857,PAYMENT,6,24620145.0,472829.88,21783165.72,0.1841,24,24,DELINQUENT,AGENTE,BOGOTA,CONSUMO
EVT000016030,2024-12-28 03:12:14,2024-12-28,LN101614,CU901614,PAYMENT,5,15756474.0,234929.03,14581828.85,0.2473,36,0,ACTIVE,AGENTE,ANTIOQUIA,CONSUMO
EVT000017996,2025-11-09 20:24:54,2025-11-09,LN101816,CU901816,PAYMENT,3,4148237.0,96819.85,3857777.45,0.2668,24,0,ACTIVE,ONLINE,VALLE,CONSUMO
EVT000017251,2026-09-01 00:28:27,2026-09-01,LN101737,CU901737,PAYMENT,9,23953965.0,1112901.21,13937854.11,0.2646,12,0,ACTIVE,ONLINE,NARINO,LIBRANZA
EVT000007008,2024-06-10 17:21:13,2024-06-11,LN100702,CU900702,PAYMENT,3,14417428.0,171951.86,13901572.42,0.1578,36,49,DELINQUENT,ONLINE,ANTIOQUIA,CONSUMO
EVT000003991,2023-09-10 12:54:23,2023-09-11,LN100399,CU900399,PAYMENT,4,14182035.0,172642.64,13491464.44,0.1652,36,7,DELINQUENT,ONLINE,BOGOTA,CONSUMO
EVT000011680,2026-06-06 20:22:14,,LN101173,CU901173,PAYMENT,7,13260871.0,414623.23,10358508.39,0.269,18,8,DELINQUENT,AGENTE,BOGOTA,LIBRANZA
EVT000013744,2025-12-25 09:56:16,2025-12-26,LN101380,CU901380,PAYMENT,1,5583745.0,180187.45,5403557.55,0.1227,12,-2,ACTIVE,ONLINE,SANTANDER,MICROCREDITO
EVT000001240,2025-04-01 15:24:16,2025-04-01,LN100126,CU900126,PAYMENT,4,25326469.0,320717.52,24043598.92,0.1799,36,12,DELINQUENT,ONLINE,ANTIOQUIA,CONSUMO
EVT000000986,2026-03-25 12:48:28,2026-03-26,LN100101,CU900101,PAYMENT,8,4703019.0,69204.92,4149379.64,0.0943,24,0,ACTIVE,OFFLINE,VALLE,CONSUMO
EVT000004563,2025-01-23 01:46:52,2025-01-23,LN100457,CU900457,DELINQUENCY,8,22886733.0,780590.17,16642011.64,0.3116,18,31,DELINQUENT,ONLINE,BOGOTA,LIBRANZA
EVT000000923,2025-05-04 23:35:09,2025-05-05,LN100095,CU900095,PAYMENT,4,1944005.0,50000.0,1744005.0,0.1745,36,32,DELINQUENT,ONLINE,BOGOTA,MICROCREDITO
EVT000015626,2025-08-02 03:53:57,2025-08-03,LN101572,CU901572,PAYMENT,5,19183155.0,978724.57,14289532.15,0.3102,12,0,ACTIVE,OFFLINE,ANTIOQUIA,CONSUMO
EVT000018141,2025-08-07 14:02:18,2025-08-08,LN101830,CU901830,PAYMENT,9,27028252.0,1290599.03,15412860.73,0.2775,12,0,ACTIVE,AGENTE,ANTIOQUIA,CONSUMO
EVT000013470,2025-03-09 10:29:09,2025-03-10,LN101353,CU901353,PAYMENT,6,4523047.0,63684.5,4140940.0,0.0816,24,0,ACTIVE,OFFLINE,CUNDINAMARCA,MICROCREDITO
EVT000004641,2025-01-25 21:13:02,2025-01-25,LN100465,CU900465,PAYMENT,7,27471296.0,325718.0,25191270.0,0.1557,36,179,DELINQUENT,APP,CUNDINAMARCA,CONSUMO
EVT000008325,2023-10-06 03:41:10,2023-10-07,LN100833,CU900833,DISBURSEMENT,0,24064047.0,343995.55,24064047.0,0.0859,24,0,ACTIVE,ONLINE,NARINO,LIBRANZA
EVT000014700,2024-02-21 07:41:33,2024-02-22,LN101478,CU901478,PAYMENT,6,10237994.0,217557.37,8932649.78,0.225,24,0,ACTIVE,AGENTE,ATLANTICO,CONSUMO
