event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000014037,2024-01-20 04:38:40,2024-01-21,LN101410,CU901410,PAYMENT,6,6238145.0,,5209599.68,0.3496,24,54,DELINQUENT,OFFLINE,ATLANTICO,MICROCREDITO
EVT000005818,2025-10-19 05:25:54,2025-10-20,LN100581,CU900581,PAYMENT,3,21177134.0,399083.09,19979884.73,0.1769,24,38,DELINQUENT,ONLINE,NARINO,CONSUMO
EVT000010088,2026-04-12 00:32:11,2026-04-13,LN101012,CU901012,PAYMENT,9,11783101.0,378944.53,8372600.23,0.2824,18,0,ACTIVE,ONLINE,CALDAS,VEHICULO
EVT000007514,2023-08-04 01:59:24,2023-08-04,LN100754,CU900754,PAYMENT,2,1186439.0,58954.15,1068530.7,0.2969,12,0,ACTIVE,ONLINE,,CONSUMO
EVT000004717,2023-03-06 02:35:50,2023-03-06,LN100474,CU900474,DISBURSEMENT,0,17288570.0,236968.67,17288570.0,0.2112,36,0,ACTIVE,AGENTE,RISARALDA,VEHICULO
EVT000006250,2025-06-22 02:01:37,2025-06-22,LN100624,CU900624,DELINQUENCY,5,12164759.0,327901.08,0.0,0.3391,24,180,DELINQUENT,AGENTE,RISARALDA,CONSUMO
EVT000016247,2024-12-17 23:37:56,2024-12-17,LN101636,CU901636,PAYMENT,1,28624983.0,383670.19,28241312.81,0.2021,36,0,ACTIVE,ONLINE,SANTANDER,CONSUMO
EVT000009216,2024-12-04 06:01:00,2024-12-04,LN100926,CU900926,PAYMENT,4,15987327.0,454466.42,14169461.32,0.2264,18,0,ACTIVE,ONLINE,ANTIOQUIA,MICROCREDITO
EVT000005838,2025-03-11 05:08:25,2025-03-11,LN100583,CU900583,PAYMENT,7,16339067.0,219882.99,14799886.07,0.3383,48,1,DELINQUENT,ONLINE,BOGOTA,LIBRANZA
EVT000009097,2024-06-24 16:59:27,2024-06-24,LN100913,CU900913,PAYMENT,9,18903114.0,403959.55,15267478.05,0.2274,24,63,DELINQUENT,ONLINE,SANTANDER,CONSUMO
EVT000002302,2024-06-08 12:21:39,2024-06-08,LN100229,CU900229,PAYMENT,3,20312484.0,210979.0,19679547.0,0.1116,36,30,DELINQUENT,ONLINE,ATLANTICO,CONSUMO
EVT000013206,2026-01-22 08:52:53,2026-01-22,LN101326,CU901326,PAYMENT,6,2145746.0,76002.32,1689732.08,0.1542,12,0,ACTIVE,OFFLINE,SANTANDER,VEHICULO
EVT000007736,2026-01-23 17:20:16,2026-01-24,LN100775,CU900775,PAYMENT,3,15912578.0,260568.46,15130872.62,0.1275,24,0,ACTIVE,OFFLINE,BOGOTA,CONSUMO
